DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,3,66.66666666666667,RandomForest,BestFirst,None,SensitiveLearning,0.4146341463414634,0.8607594936708861,0.9242555322830344,0.372129719423396,68.0,96.0,182.0,11.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,GreedyStepwise,None,SensitiveLearning,0.7692307692307693,0.8860759493670886,0.9373235588744194,0.7687424425634823,70.0,21.0,257.0,9.0
BOOKKEEPER,3,66.66666666666667,NaiveBayes,BestFirst,None,SensitiveLearning,0.7692307692307693,0.8860759493670886,0.9373235588744194,0.7687424425634823,70.0,21.0,257.0,9.0
BOOKKEEPER,3,66.66666666666667,IBk,GreedyStepwise,None,SensitiveLearning,0.5775862068965517,0.8481012658227848,0.9021719333394044,0.5753894749156707,67.0,49.0,229.0,12.0
BOOKKEEPER,3,66.66666666666667,IBk,BestFirst,None,SensitiveLearning,0.5775862068965517,0.8481012658227848,0.9021719333394044,0.5753894749156707,67.0,49.0,229.0,12.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,None,None,0.6862745098039216,0.7777777777777778,0.8836345381526104,0.6898297576102776,35.0,16.0,316.0,10.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,None,None,0.37362637362637363,0.7555555555555555,0.8325970548862115,0.40494870247435105,34.0,57.0,275.0,11.0
BOOKKEEPER,4,73.96408839779005,IBk,None,None,None,0.6296296296296297,0.7555555555555555,0.8845716198125837,0.6399901426239101,34.0,20.0,312.0,11.0
BOOKKEEPER,4,73.96408839779005,RandomForest,GreedyStepwise,None,None,0.673469387755102,0.7333333333333333,0.8836345381526104,0.6597911563748872,33.0,16.0,316.0,12.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,GreedyStepwise,None,None,0.9655172413793104,0.6222222222222222,0.9271419009370817,0.7316513761467891,28.0,1.0,331.0,17.0
BOOKKEEPER,4,73.96408839779005,IBk,GreedyStepwise,None,None,0.6111111111111112,0.7333333333333333,0.8711847389558233,0.6167637002125494,33.0,21.0,311.0,12.0
BOOKKEEPER,4,73.96408839779005,RandomForest,BestFirst,None,None,0.673469387755102,0.7333333333333333,0.8836345381526104,0.6597911563748872,33.0,16.0,316.0,12.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,BestFirst,None,None,0.9655172413793104,0.6222222222222222,0.9271419009370817,0.7316513761467891,28.0,1.0,331.0,17.0
BOOKKEEPER,4,73.96408839779005,IBk,BestFirst,None,None,0.6111111111111112,0.7333333333333333,0.8711847389558233,0.6167637002125494,33.0,21.0,311.0,12.0
BOOKKEEPER,4,73.96408839779005,RandomForest,None,None,SensitiveLearning,0.43529411764705883,0.8222222222222222,0.8993641231593039,0.4895551257253383,37.0,48.0,284.0,8.0
BOOKKEEPER,4,73.96408839779005,NaiveBayes,None,None,SensitiveLearning,0.3185840707964602,0.8,0.8325970548862115,0.34363106324398723,36.0,77.0,255.0,9.0
