file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-client/src/test/java/org/apache/hedwig/util/TestHedwigSocketAddress.java,org.apache.hedwig.util.TestHedwigSocketAddress,class,3,3,0,3,12,2,0,8,0,0.4,0.0,0.0,8,0,8,0,0,0,8,0,0,0,5,0,0,5,0,0,0,0,0,60,0,0,2,2,0,2,11,17,3,15,1,0,0,0,44,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-client/src/main/java/org/apache/hedwig/client/netty/FilterableMessageHandler.java,org.apache.hedwig.client.netty.FilterableMessageHandler,class,7,10,3,7,10,1,0,4,0,0.33333334,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,0,0,0,0,2,0,0,0,32,4,0,2,0,0,0,0,4,0,3,1,0,0,0,19,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,org.apache.hedwig.zookeeper.SafeAsynBKCallback$CloseCallback,innerclass,4,4,0,4,3,1,0,2,1,0.0,0.0,0.0,2,0,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,0,0,0,1,0,0,0,15,1033,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/main/java/org/apache/hedwig/server/handlers/CloseSubscriptionHandler.java,org.apache.hedwig.server.handlers.CloseSubscriptionHandler,class,14,15,1,14,3,2,0,11,0,0.25,0.0,0.0,2,0,2,0,0,0,2,0,0,0,4,0,0,0,0,4,1,0,3,45,1,0,0,0,0,1,0,8,0,8,1,1,0,0,31,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,org.apache.hedwig.protocol.PubSubProtocol$LedgerRanges$Builder,innerclass,13,13,0,13,78,1,0,58,394,0.6666667,0.0,0.0,37,2,29,7,1,0,30,0,2,0,3,0,0,3,0,0,0,0,13,326,42,2,25,0,11,0,15,27,0,11,3,0,0,0,72,25,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,org.apache.bookkeeper.proto.BookieClient$Anonymous4$Anonymous5,anonymous,1,1,0,1,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-server/src/main/java/org/apache/hedwig/server/topics/MMTopicManager.java,org.apache.hedwig.server.topics.MMTopicManager$MMGetOwnerOp$Anonymous3,anonymous,8,8,0,8,6,1,0,12,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,46,4,0,3,0,0,7,0,2,1,2,2,1,0,0,32,-1,5
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,org.apache.bookkeeper.meta.FlatLedgerManager,class,14,22,5,17,7,2,0,9,3,0.6666667,0.0,0.0,6,0,6,0,0,0,6,0,0,0,2,1,0,1,0,1,2,0,3,73,3,0,0,1,0,1,1,6,2,6,1,2,0,0,75,0,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,org.apache.hedwig.util.FileUtils,class,3,8,5,3,5,2,0,9,1,0.75,0.0,0.0,2,2,2,0,0,0,3,0,0,0,2,2,0,0,0,2,0,0,3,53,2,0,0,0,0,2,0,3,2,3,1,0,1,0,20,1,0
/home/alessandro/ISW2/Projects/ISW2_Metrics_Proj/repos/bookkeeperClone/bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,org.apache.bookkeeper.client.DistributionSchedule$QuorumCoverageSet,interface,0,0,0,0,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,1,0
